iter	Passed	Remaining
0	60	60452
1	60	30418
2	61	20358
3	61	15319
4	61	12293
5	62	10275
6	62	8833
7	62	7753
8	62	6912
9	63	6240
10	63	5690
11	63	5231
12	63	4843
13	64	4510
14	64	4220
15	64	3967
16	64	3743
17	64	3544
18	65	3367
19	65	3207
20	65	3062
21	65	2930
22	66	2812
23	66	2701
24	66	2600
25	66	2506
26	67	2419
27	67	2338
28	67	2266
29	67	2196
30	68	2130
31	68	2068
32	68	2010
33	68	1957
34	69	1905
35	69	1857
36	69	1811
37	69	1767
38	70	1726
39	70	1688
40	70	1650
41	70	1614
42	71	1580
43	71	1548
44	71	1517
45	71	1487
46	71	1459
47	72	1431
48	72	1405
49	72	1380
50	72	1356
51	73	1332
52	73	1310
53	73	1289
54	73	1268
55	74	1248
56	74	1228
57	74	1210
58	74	1192
59	75	1175
60	75	1159
61	75	1142
62	75	1127
63	76	1111
64	76	1096
65	76	1082
66	76	1068
67	77	1055
68	77	1042
69	77	1029
70	77	1017
71	78	1005
72	78	994
73	78	982
74	78	971
75	79	961
76	79	950
77	79	940
78	79	930
79	80	920
80	80	911
81	80	901
82	80	890
83	80	882
84	81	873
85	81	865
86	81	857
87	81	849
88	82	841
89	82	834
90	82	826
91	82	818
92	83	812
93	83	805
94	83	798
95	84	791
96	84	785
97	84	779
98	84	772
99	85	766
100	85	760
101	85	754
102	85	747
103	86	742
104	86	736
105	86	730
106	86	725
107	87	719
108	87	714
109	87	708
110	87	703
111	88	698
112	88	693
113	88	688
114	88	683
115	89	679
116	89	674
117	89	669
118	89	665
119	90	660
120	90	656
121	90	651
122	90	646
123	90	642
124	91	638
125	91	634
126	91	630
127	91	626
128	92	622
129	92	618
130	92	614
131	92	611
132	93	607
133	93	603
134	93	600
135	93	596
136	94	593
137	94	590
138	94	587
139	95	583
140	95	580
141	95	576
142	95	573
143	95	570
144	96	567
145	96	564
146	96	561
147	96	558
148	97	555
149	97	552
150	97	549
151	97	546
152	98	543
153	98	541
154	98	538
155	99	536
156	99	533
157	99	530
158	99	527
159	100	525
160	100	522
161	100	519
162	100	517
163	101	515
164	101	512
165	101	510
166	101	508
167	102	505
168	102	503
169	102	501
170	102	499
171	103	496
172	103	494
173	103	492
174	104	490
175	104	488
176	104	486
177	104	483
178	105	481
179	105	479
180	105	477
181	105	475
182	106	473
183	106	471
184	106	469
185	106	467
186	107	465
187	107	463
188	107	461
189	107	459
190	108	458
191	108	456
192	108	455
193	109	453
194	109	451
195	109	450
196	110	448
197	110	446
198	110	445
199	110	443
200	111	441
201	111	440
202	111	438
203	111	436
204	112	435
205	112	433
206	112	431
207	112	430
208	113	428
209	113	427
210	113	425
211	114	423
212	114	422
213	114	420
214	114	419
215	115	417
216	115	415
217	115	414
218	115	412
219	115	411
220	116	409
221	116	408
222	116	406
223	116	405
224	117	403
225	117	402
226	117	400
227	117	399
228	118	397
229	118	396
230	118	395
231	118	393
232	119	392
233	119	390
234	119	389
235	119	388
236	120	387
237	120	385
238	120	384
239	120	383
240	121	381
241	121	380
242	121	379
243	122	378
244	122	376
245	122	375
246	122	374
247	122	372
248	123	371
249	123	370
250	123	368
251	123	367
252	124	366
253	124	365
254	124	363
255	124	362
256	124	361
257	125	360
258	125	358
259	125	357
260	125	356
261	126	355
262	126	354
263	126	352
264	126	351
265	127	350
266	127	349
267	127	348
268	127	347
269	127	345
270	128	344
271	128	343
272	128	342
273	128	341
274	129	340
275	129	339
276	129	338
277	129	337
278	130	336
279	130	335
280	130	334
281	130	333
282	131	332
283	131	331
284	131	330
285	131	329
286	132	328
287	132	327
288	132	326
289	132	325
290	133	324
291	133	323
292	133	322
293	133	321
294	134	320
295	134	319
296	134	318
297	134	317
298	135	316
299	135	315
300	135	315
301	135	314
302	136	313
303	136	312
304	136	311
305	136	310
306	137	309
307	137	308
308	137	307
309	137	306
310	138	306
311	138	305
312	138	304
313	138	303
314	139	302
315	139	301
316	139	300
317	139	299
318	140	299
319	140	298
320	140	297
321	140	296
322	141	295
323	141	295
324	141	294
325	141	293
326	142	292
327	142	291
328	142	291
329	142	290
330	143	289
331	143	288
332	143	287
333	143	286
334	144	286
335	144	285
336	144	284
337	144	283
338	145	282
339	145	282
340	145	281
341	145	280
342	146	279
343	146	279
344	146	278
345	146	277
346	147	276
347	147	276
348	147	275
349	147	274
350	148	273
351	148	273
352	148	272
353	148	271
354	149	270
355	149	270
356	149	269
357	149	268
358	150	268
359	150	267
360	150	266
361	150	265
362	151	265
363	151	264
364	151	263
365	151	263
366	152	262
367	152	261
368	152	261
369	152	260
370	153	259
371	153	258
372	153	258
373	153	257
374	154	256
375	154	256
376	154	255
377	154	254
378	155	254
379	155	253
380	155	252
381	155	252
382	156	251
383	156	250
384	156	250
385	156	249
386	157	248
387	157	248
388	157	247
389	157	246
390	158	246
391	158	245
392	158	245
393	158	244
394	159	243
395	159	243
396	159	242
397	159	241
398	160	241
399	160	240
400	160	239
401	160	239
402	161	238
403	161	238
404	161	237
405	161	236
406	162	236
407	162	235
408	162	234
409	162	234
410	163	233
411	163	233
412	163	232
413	163	231
414	164	231
415	164	230
416	164	230
417	164	229
418	164	228
419	165	228
420	165	227
421	165	226
422	165	226
423	166	225
424	166	225
425	166	224
426	166	224
427	167	223
428	167	222
429	167	222
430	167	221
431	168	221
432	168	220
433	168	219
434	168	219
435	169	218
436	169	218
437	169	217
438	169	217
439	170	216
440	170	216
441	170	215
442	170	214
443	171	214
444	171	213
445	171	213
446	171	212
447	172	212
448	172	211
449	172	211
450	172	210
451	173	209
452	173	209
453	173	208
454	173	208
455	174	207
456	174	207
457	174	206
458	174	206
459	175	205
460	175	205
461	175	204
462	175	204
463	176	203
464	176	202
465	176	202
466	176	201
467	177	201
468	177	200
469	177	200
470	177	199
471	178	199
472	178	198
473	178	198
474	178	197
475	179	197
476	179	196
477	179	196
478	179	195
479	180	195
480	180	194
481	180	194
482	180	193
483	181	193
484	181	192
485	181	192
486	181	191
487	182	191
488	182	190
489	182	190
490	182	189
491	183	189
492	183	188
493	183	188
494	183	187
495	184	187
496	184	186
497	184	186
498	184	185
499	185	185
500	185	184
501	185	184
502	185	183
503	186	183
504	186	182
505	186	182
506	186	181
507	187	181
508	187	180
509	187	180
510	187	179
511	188	179
512	188	178
513	188	178
514	188	177
515	189	177
516	189	176
517	189	176
518	189	176
519	190	175
520	190	175
521	190	174
522	191	174
523	191	173
524	191	173
525	191	172
526	192	172
527	192	171
528	192	171
529	192	170
530	193	170
531	193	169
532	193	169
533	193	169
534	193	168
535	194	168
536	194	167
537	194	167
538	194	166
539	195	166
540	195	165
541	195	165
542	195	164
543	196	164
544	196	164
545	196	163
546	196	163
547	197	162
548	197	162
549	197	161
550	197	161
551	198	160
552	198	160
553	198	159
554	198	159
555	199	159
556	199	158
557	199	158
558	199	157
559	200	157
560	200	156
561	200	156
562	200	155
563	201	155
564	201	155
565	201	154
566	201	154
567	202	153
568	202	153
569	202	152
570	202	152
571	203	152
572	203	151
573	203	151
574	203	150
575	204	150
576	204	149
577	204	149
578	204	148
579	205	148
580	205	148
581	205	147
582	205	147
583	206	146
584	206	146
585	206	146
586	206	145
587	207	145
588	207	144
589	207	144
590	207	143
591	208	143
592	208	143
593	208	142
594	208	142
595	209	141
596	209	141
597	209	140
598	209	140
599	210	140
600	210	139
601	210	139
602	210	138
603	211	138
604	211	138
605	211	137
606	211	137
607	212	136
608	212	136
609	212	135
610	212	135
611	213	135
612	213	134
613	213	134
614	213	133
615	214	133
616	214	133
617	214	132
618	214	132
619	215	131
620	215	131
621	215	131
622	215	130
623	216	130
624	216	129
625	216	129
626	216	129
627	217	128
628	217	128
629	217	127
630	218	127
631	218	127
632	218	126
633	218	126
634	219	125
635	219	125
636	219	125
637	219	124
638	219	124
639	220	123
640	220	123
641	220	123
642	221	122
643	221	122
644	221	121
645	221	121
646	222	121
647	222	120
648	222	120
649	222	119
650	223	119
651	223	119
652	223	118
653	223	118
654	224	118
655	224	117
656	224	117
657	224	116
658	225	116
659	225	116
660	225	115
661	226	115
662	226	115
663	226	114
664	226	114
665	227	113
666	227	113
667	227	113
668	227	112
669	228	112
670	228	111
671	228	111
672	228	111
673	229	110
674	229	110
675	229	110
676	229	109
677	230	109
678	230	108
679	230	108
680	230	108
681	231	107
682	231	107
683	231	107
684	232	106
685	232	106
686	232	105
687	232	105
688	232	105
689	233	104
690	233	104
691	233	104
692	234	103
693	234	103
694	234	102
695	234	102
696	234	102
697	235	101
698	235	101
699	235	101
700	235	100
701	236	100
702	236	99
703	236	99
704	236	99
705	237	98
706	237	98
707	237	98
708	238	97
709	238	97
710	238	96
711	238	96
712	239	96
713	239	95
714	239	95
715	239	95
716	240	94
717	240	94
718	240	94
719	240	93
720	241	93
721	241	92
722	241	92
723	241	92
724	242	91
725	242	91
726	242	91
727	242	90
728	243	90
729	243	90
730	243	89
731	243	89
732	244	88
733	244	88
734	244	88
735	245	87
736	245	87
737	245	87
738	245	86
739	246	86
740	246	86
741	246	85
742	246	85
743	246	84
744	247	84
745	247	84
746	247	83
747	248	83
748	248	83
749	248	82
750	248	82
751	249	82
752	249	81
753	249	81
754	249	81
755	250	80
756	250	80
757	250	80
758	250	79
759	251	79
760	251	78
761	251	78
762	251	78
763	252	77
764	252	77
765	252	77
766	252	76
767	253	76
768	253	76
769	253	75
770	253	75
771	254	75
772	254	74
773	254	74
774	254	73
775	254	73
776	255	73
777	255	72
778	255	72
779	255	72
780	256	71
781	256	71
782	256	71
783	256	70
784	257	70
785	257	70
786	257	69
787	257	69
788	258	69
789	258	68
790	258	68
791	258	67
792	259	67
793	259	67
794	259	66
795	259	66
796	260	66
797	260	65
798	260	65
799	260	65
800	261	64
801	261	64
802	261	64
803	261	63
804	262	63
805	262	63
806	262	62
807	262	62
808	263	62
809	263	61
810	263	61
811	263	61
812	264	60
813	264	60
814	264	60
815	264	59
816	265	59
817	265	59
818	265	58
819	265	58
820	265	57
821	266	57
822	266	57
823	266	56
824	266	56
825	267	56
826	267	55
827	267	55
828	267	55
829	268	54
830	268	54
831	268	54
832	268	53
833	269	53
834	269	53
835	269	52
836	270	52
837	270	52
838	270	51
839	270	51
840	271	51
841	271	50
842	271	50
843	271	50
844	271	49
845	272	49
846	272	49
847	272	48
848	272	48
849	273	48
850	273	47
851	273	47
852	273	47
853	274	46
854	274	46
855	274	46
856	275	45
857	275	45
858	275	45
859	275	44
860	276	44
861	276	44
862	276	43
863	276	43
864	277	43
865	277	42
866	277	42
867	277	42
868	278	41
869	278	41
870	278	41
871	278	40
872	279	40
873	279	40
874	279	39
875	279	39
876	280	39
877	280	38
878	280	38
879	280	38
880	281	37
881	281	37
882	281	37
883	281	37
884	282	36
885	282	36
886	282	36
887	282	35
888	283	35
889	283	35
890	283	34
891	283	34
892	284	34
893	284	33
894	284	33
895	285	33
896	285	32
897	285	32
898	285	32
899	286	31
900	286	31
901	286	31
902	286	30
903	287	30
904	287	30
905	287	29
906	288	29
907	288	29
908	288	28
909	288	28
910	289	28
911	289	27
912	289	27
913	289	27
914	290	26
915	290	26
916	290	26
917	290	25
918	291	25
919	291	25
920	291	25
921	291	24
922	292	24
923	292	24
924	292	23
925	292	23
926	293	23
927	293	22
928	293	22
929	293	22
930	294	21
931	294	21
932	294	21
933	294	20
934	295	20
935	295	20
936	295	19
937	295	19
938	296	19
939	296	18
940	296	18
941	296	18
942	297	17
943	297	17
944	297	17
945	297	17
946	298	16
947	298	16
948	298	16
949	298	15
950	299	15
951	299	15
952	299	14
953	299	14
954	300	14
955	300	13
956	300	13
957	300	13
958	301	12
959	301	12
960	301	12
961	302	11
962	302	11
963	302	11
964	302	10
965	303	10
966	303	10
967	303	10
968	303	9
969	304	9
970	304	9
971	304	8
972	304	8
973	305	8
974	305	7
975	305	7
976	305	7
977	306	6
978	306	6
979	306	6
980	306	5
981	307	5
982	307	5
983	307	5
984	307	4
985	308	4
986	308	4
987	308	3
988	308	3
989	309	3
990	309	2
991	309	2
992	309	2
993	309	1
994	310	1
995	310	1
996	310	0
997	311	0
998	311	0
999	311	0
